Category,Match %,Matched Skills,Missing Skills
technical,45.45,"java, python, html, css, javascript","spring boot, mysql, rest api, docker, kubernetes, git"
soft,16.67,communication,"teamwork, leadership, problem solving, time management, adaptability"
